time,accel_x,accel_y,accel_z,gyr_x,gyr_y,gyr_z
1,0.76,1.15,0.23,-26.86,-134.22,253.85
2,0.46,0.63,0.3,192.93,292.6,108.83
3,1.04,0.65,0.56,252.08,-40.65,-88.2
4,0.98,0.47,-0.98,-52.92,-460.82,-32.35
5,1.06,0.05,-0.76,137.82,-226.81,7.08
6,0.68,-0.68,-1.11,-86.85,-97.41,-195.98
7,1.14,-0.39,-1.53,-386.41,-246.28,-230.16
8,0.4,-0.07,-0.32,-640.26,-450.5,-368.71
9,0.43,-1.19,1.19,-607.91,-206.54,-489.75
10,0.39,-1.04,1.47,153.81,-11.54,-105.53
11,-0.2,-0.83,1.67,93.38,46.88,-14.28
12,-0.03,-0.2,1.45,165.28,151.0,104.19
13,-0.17,0.05,1.2,239.2,262.27,189.7
14,0.09,0.29,0.32,453.12,302.61,199.65
15,0.51,-0.14,-0.69,570.62,221.8,165.95
16,0.7,-0.61,-1.71,-76.17,97.53,-69.76
17,0.3,-0.45,-1.53,-89.84,132.93,33.57
18,0.99,0.4,-0.82,-565.61,102.91,-36.25
19,1.0,0.16,0.09,-610.6,-38.51,-247.44
20,-1.47,-1.04,0.76,-345.76,269.17,-595.4
21,-0.7,-0.8,1.88,359.44,-548.89,-100.77
22,-1.16,-0.93,1.31,227.05,-72.75,84.66
23,-0.78,-0.39,1.4,131.47,85.27,113.16
24,0.3,0.09,0.9,274.11,5.74,150.88
25,0.43,-0.08,0.36,724.12,-95.64,171.75
26,-0.46,-0.77,-2.55,510.44,11.6,-108.03
27,-0.71,-0.53,-1.56,-102.23,-69.46,16.11
28,-0.39,-0.16,-1.38,-274.05,27.83,155.52
29,0.38,-0.08,-1.1,-728.09,227.29,163.02
30,-0.4,-1.08,0.42,-885.5,718.32,-358.95
31,-0.97,-1.86,1.23,-34.67,88.99,-363.34
32,-0.91,-1.32,1.2,131.65,-160.83,2.44
33,-0.41,-1.05,1.34,345.7,-209.11,-5.92
34,0.55,-0.17,1.15,595.64,-337.83,-104.0
35,0.55,-0.37,0.38,650.7,-249.15,-453.67
36,-1.11,-1.36,-1.55,462.04,199.89,-399.23
37,-0.94,-0.83,-1.54,-110.6,47.73,-18.49
38,-0.63,-0.14,-1.36,-251.65,199.16,118.65
39,-0.13,-0.28,-1.37,-606.51,314.27,120.85
40,0.41,-0.53,0.11,-721.44,217.83,-158.39
41,-0.35,-0.85,0.95,-656.56,550.78,-403.75
42,-0.76,-1.55,1.14,93.26,-322.39,-251.71
43,-0.55,-1.39,1.64,161.32,-101.87,0.31
44,0.06,-0.52,1.3,346.62,-133.61,46.51
45,0.62,-0.13,0.88,495.48,-125.98,-12.15
46,0.36,-0.44,-0.06,662.29,99.49,-350.65
47,-0.42,-0.89,-1.64,595.95,199.89,-201.9
48,-0.58,-0.42,-1.7,-39.12,-1.95,3.78
49,-0.43,-0.01,-1.35,-158.75,6.77,77.45
50,-0.06,-0.12,-1.42,-491.7,86.49,135.56
51,0.36,-0.36,-0.36,-748.23,75.81,77.88
52,-0.45,-1.56,1.07,-947.88,541.2,-10.38
53,-0.95,-1.97,1.32,180.97,-222.23,-37.29
54,0.02,-1.37,1.26,366.03,-93.99,73.73
55,0.64,-0.5,1.0,533.39,46.02,-24.72
56,0.12,-0.41,0.54,729.92,-119.75,-171.88
57,-0.19,-0.74,-0.88,710.39,-1.77,-181.82
58,-0.31,-0.8,-2.7,140.81,90.94,-110.6
59,-0.59,-0.08,-1.33,-173.4,-14.16,76.23
60,-0.12,0.07,-1.2,-345.09,115.11,79.83
61,0.35,-0.08,-0.54,-692.93,128.6,27.71
62,0.39,-0.84,0.41,-827.33,282.04,-123.11
63,-0.75,-2.2,1.12,-56.52,-61.04,-382.81
64,-0.78,-1.57,1.13,110.78,-51.94,14.1
65,-0.01,-0.63,1.52,467.53,-281.8,26.49
66,0.5,-0.23,1.15,528.69,-57.74,-34.79
67,-0.23,-0.44,0.19,676.21,-70.62,-121.58
68,0.07,-0.88,-0.99,686.28,346.44,-55.79
69,0.52,-0.33,-1.44,-61.1,84.23,-100.83
70,0.35,0.2,-1.25,-121.83,121.4,53.04
71,0.96,-0.12,-0.79,-315.25,245.18,-148.86
72,0.62,0.02,-0.26,-353.33,413.15,-302.61
73,-0.69,-0.36,0.8,-122.44,544.01,-1043.76
74,-1.7,-0.99,0.74,144.53,-166.02,-276.49
75,-1.51,-0.92,0.78,98.14,-69.52,117.49
76,-1.07,-0.37,0.84,125.79,-75.2,244.51
77,-0.49,0.07,0.77,255.98,8.42,313.6
78,-0.09,0.28,0.94,286.68,-178.65,327.33
79,0.07,-0.68,-0.32,561.28,-267.33,20.81
80,-0.68,-0.38,-2.69,373.6,-15.2,19.17
81,-0.26,0.38,-0.95,-120.12,16.42,-23.19
82,0.02,0.39,-0.77,-42.79,16.54,5.98
83,0.01,0.42,-0.91,-54.14,14.59,4.39
84,-0.02,0.48,-0.83,-18.92,7.26,-3.85
85,-0.0,0.52,-0.82,-17.7,7.08,-3.36
86,0.03,0.56,-0.88,-11.84,9.7,2.14
87,0.05,0.56,-0.86,-4.33,4.15,0.67
88,0.05,0.58,-0.82,-9.64,4.21,-3.97
89,-0.02,0.56,-0.87,20.69,13.85,-19.29
90,0.02,0.51,-1.15,-35.46,139.22,-10.74
91,0.43,0.36,-1.12,-481.38,360.9,-118.53
92,0.35,0.37,-0.59,-563.6,532.29,-256.35
93,0.06,-0.46,0.24,-341.86,398.32,-586.67
94,-1.42,-1.71,0.07,87.89,317.93,-501.95
95,-0.65,-1.22,0.06,72.45,-42.97,46.14
96,-1.08,-0.87,0.39,7.87,44.01,72.08
97,-0.61,-0.28,0.22,-26.86,54.93,51.76
98,-0.82,-0.29,0.23,6.35,15.38,-4.15
99,-0.86,-0.47,0.14,1.65,45.72,-30.15
100,-0.93,-0.49,0.16,12.21,17.09,-11.47
101,-0.89,-0.48,0.12,7.93,-4.88,7.57
102,-0.85,-0.46,0.15,4.52,-10.25,-0.37
103,-0.91,-0.48,0.16,1.4,-13.61,7.93
104,-0.88,-0.44,0.18,2.08,-11.41,7.69
105,-0.89,-0.45,0.19,0.61,-2.08,1.28
106,-0.9,-0.46,0.18,1.1,0.85,-0.92
107,-0.86,-0.45,0.17,1.16,6.65,-2.69
108,-0.9,-0.46,0.19,1.89,-5.49,-0.67
109,-0.86,-0.47,0.17,1.89,16.05,-4.09
110,-0.9,-0.47,0.16,1.34,0.79,-0.43
111,-0.86,-0.44,0.17,5.8,37.23,-18.98
112,-0.83,-0.49,0.12,19.23,19.1,-16.66
113,-0.93,-0.51,0.19,10.93,-53.22,36.68
114,-0.96,-0.53,0.23,-0.85,-46.94,38.94
115,-0.92,-0.21,0.6,118.84,-273.93,119.69
116,-0.65,-0.02,0.82,161.68,-169.01,104.74
117,-0.51,0.28,0.81,88.07,-19.23,22.71
118,-0.59,0.52,0.79,326.78,-30.58,75.01
119,-0.47,0.69,0.89,233.89,-64.58,94.06
