time,accel_x,accel_y,accel_z,gyr_x,gyr_y,gyr_z
1,-0.76,0.15,0.4,17.09,-17.94,27.28
2,-0.82,0.15,0.45,2.32,7.57,-6.9
3,-0.83,0.1,0.5,15.32,17.76,-21.67
4,-1.04,0.13,0.44,17.58,35.03,-30.46
5,-0.85,0.04,0.29,6.47,42.54,-31.62
6,-0.96,0.04,0.29,6.53,9.83,-19.96
7,-0.97,-0.02,0.3,-8.61,11.41,-14.16
8,-0.97,-0.07,0.26,-4.58,4.09,-8.42
9,-0.92,-0.07,0.26,-0.43,-3.36,3.05
10,-0.97,-0.04,0.29,2.32,-0.67,4.09
11,-0.96,-0.03,0.3,5.25,-1.28,3.97
12,-0.96,-0.02,0.28,6.1,0.61,2.99
13,-0.96,-0.04,0.29,3.42,-3.48,1.65
14,-1.06,-0.16,0.32,10.5,-52.92,49.32
15,-1.15,-0.13,0.34,112.24,24.96,101.26
16,-1.04,0.18,0.08,80.81,10.93,87.34
17,-1.12,0.44,0.21,-113.89,24.54,55.05
18,-1.16,0.43,0.83,-94.91,42.91,50.48
19,-0.68,0.21,0.57,-6.96,-44.31,12.15
20,-0.67,0.13,0.51,118.16,-39.43,-7.51
21,-0.55,0.38,0.16,139.04,-10.62,28.08
22,-0.67,0.01,-0.03,94.73,-13.24,-0.49
23,-0.62,0.72,-0.15,28.08,-6.96,-17.76
24,-0.78,0.82,0.11,-21.48,-25.7,-3.11
25,-0.71,0.71,0.2,-40.71,-29.36,17.46
26,-0.82,0.86,0.11,-46.2,-38.76,-20.32
27,-1.04,1.2,-0.17,-165.53,-23.86,5.62
28,-0.93,0.41,0.09,-200.74,-15.81,61.58
29,-0.77,-0.05,0.32,-215.03,-9.09,41.63
30,-0.6,-0.29,0.49,-124.15,18.68,102.66
31,-0.59,-0.29,0.55,-111.94,41.63,110.41
32,-0.86,-0.05,0.72,-101.62,4.39,87.77
33,-0.81,-0.09,0.56,-94.24,11.17,116.82
34,-0.76,-0.34,0.75,-64.39,4.82,109.25
35,-0.63,-0.55,0.93,6.29,-8.85,3.85
36,-0.68,-0.26,0.65,66.71,0.43,-65.61
37,-0.65,-0.52,0.73,90.82,3.36,-116.33
38,-0.93,-0.42,0.53,136.66,23.01,-145.87
39,-1.1,-0.15,0.38,107.12,-11.17,-162.11
40,-1.07,-0.1,0.33,94.3,-2.62,-164.18
41,-1.09,-0.08,0.31,126.89,17.76,-132.75
42,-1.14,0.05,0.22,171.26,32.1,-116.03
43,-1.16,0.75,0.23,128.85,13.98,-107.97
44,-0.78,0.46,0.52,7.69,-15.26,-2.93
45,-1.02,0.58,0.66,-41.2,9.4,38.02
46,-0.98,0.41,0.41,-88.62,-14.65,83.8
47,-1.1,0.22,0.4,-118.23,-26.92,96.92
48,-1.08,0.03,0.37,-128.48,-13.85,121.4
49,-0.99,-0.15,0.39,-136.47,-26.92,132.69
50,-0.85,-0.36,0.45,-123.96,-16.36,138.55
51,-0.85,-0.36,0.52,-124.21,-6.29,123.47
52,-0.78,-0.29,0.58,-84.05,0.18,138.12
53,-0.83,-0.25,0.63,-102.17,-15.5,114.01
54,-0.27,-0.88,1.02,-3.48,13.92,35.95
55,-0.76,-0.2,0.66,47.42,4.64,-93.26
56,-0.66,-0.42,0.71,68.91,-1.89,-114.62
57,-0.76,-0.52,0.66,105.41,-4.15,-130.13
58,-0.92,-0.29,0.47,121.22,0.98,-145.45
59,-1.0,-0.14,0.41,96.07,0.61,-150.33
60,-1.04,-0.07,0.42,106.14,19.96,-125.98
61,-1.02,-0.03,0.45,112.18,20.63,-97.96
62,-0.95,-0.0,0.45,96.68,19.29,-93.44
63,-0.92,0.11,0.48,85.21,13.24,-72.94
64,-0.78,0.0,0.52,67.75,16.3,-68.79
65,-0.93,0.34,0.58,52.0,21.36,-27.77
66,-0.91,0.31,0.61,-13.18,6.23,-4.09
67,-0.97,0.39,0.57,-48.52,-14.34,34.73
68,-1.04,0.29,0.47,-101.26,-32.23,75.62
69,-1.1,0.15,0.37,-116.09,-41.56,109.13
70,-1.06,-0.13,0.39,-129.21,-25.51,138.67
71,-1.07,-0.24,0.43,-131.84,-32.47,133.91
72,-0.91,-0.36,0.46,-100.4,-24.9,149.84
73,-0.84,-0.36,0.49,-107.42,-19.84,131.96
74,-0.79,-0.3,0.54,-84.29,-11.78,145.08
75,-0.69,-0.41,0.68,-73.79,3.05,138.67
76,-0.29,-0.86,1.02,-5.68,21.48,44.01
77,-0.65,-0.39,0.72,46.33,8.61,-97.66
78,-0.74,-0.47,0.67,73.97,-2.93,-147.52
79,-0.84,-0.39,0.61,115.78,-3.72,-130.68
80,-0.94,-0.15,0.47,134.09,11.78,-120.42
81,-0.95,-0.09,0.44,107.85,21.55,-126.71
82,-0.99,-0.03,0.45,101.81,30.76,-112.43
83,-0.9,-0.08,0.46,88.87,26.0,-98.45
84,-0.93,-0.16,0.56,78.06,34.61,-94.6
85,-0.87,-0.2,0.43,110.17,29.24,-87.65
86,-1.19,0.46,0.57,65.12,28.99,-64.51
87,-0.93,0.35,0.56,-10.01,4.88,-4.88
88,-0.97,0.29,0.56,-50.23,-14.71,37.9
89,-1.11,0.26,0.5,-83.86,-35.1,86.49
90,-1.13,0.09,0.39,-109.13,-53.16,110.11
91,-1.04,-0.12,0.41,-120.85,-42.66,134.7
92,-0.92,-0.29,0.42,-119.63,-34.79,132.45
93,-0.88,-0.32,0.43,-117.55,-21.18,145.14
94,-0.77,-0.42,0.54,-107.36,-15.08,143.98
95,-0.7,-0.37,0.66,-85.33,1.16,125.31
96,-0.61,-0.42,0.71,-67.57,5.37,102.54
97,-0.62,-0.47,0.83,-25.82,12.94,56.15
98,-0.47,-0.6,0.87,33.94,8.12,-9.64
99,-0.58,-0.55,0.77,52.92,-4.52,-79.83
100,-0.82,-0.52,0.62,101.07,7.2,-148.99
101,-0.96,-0.31,0.46,129.94,19.53,-145.45
102,-1.01,-0.17,0.41,128.23,25.02,-138.98
103,-1.04,-0.11,0.37,104.19,30.15,-141.97
104,-1.04,-0.09,0.42,99.43,32.29,-114.81
105,-0.98,-0.08,0.42,94.24,28.63,-98.14
106,-0.89,-0.02,0.49,87.52,16.6,-77.03
107,-0.83,-0.01,0.5,73.43,18.62,-69.46
108,-1.01,0.33,0.58,43.03,22.89,-36.99
109,-0.91,0.23,0.58,-18.07,0.18,8.79
110,-1.06,0.27,0.59,-64.27,-22.71,52.19
111,-1.04,0.11,0.47,-84.59,-49.19,98.75
112,-1.1,0.02,0.33,-120.85,-44.19,133.06
113,-1.01,-0.17,0.37,-128.97,-35.34,138.24
114,-0.96,-0.32,0.41,-131.23,-31.8,138.12
115,-0.89,-0.42,0.48,-118.65,-18.86,138.79
116,-0.9,-0.34,0.55,-99.73,-21.67,129.58
117,-0.78,-0.38,0.57,-95.21,-26.37,134.28
